scenario,policy,scenario_seed,requests,delivered,on_time,rejected,priority_requests,priority_on_time,unfinished,travel_ticks,distance,energy_used,energy_charged,delay,reward,on_time_rate,completion_rate,priority_service,distance_per_delivery,mean_delay,latency_median_ms
standard,nearest,1000075,26,21,7,0,2,0,5,82,73,73,57,76,101.46999999999996,0.2692307692307692,0.8076923076923077,0.0,3.4761904761904763,3.619047619047619,0.006885000004785979
standard,nearest,1000076,29,22,9,5,10,6,2,85,69,69,51,140,108.81000000000002,0.3103448275862069,0.7586206896551724,0.6,3.1363636363636362,6.363636363636363,0.006925000008095594
standard,nearest,1000077,35,23,9,10,11,5,2,84,75,75,45,139,5.449999999999985,0.2571428571428571,0.6571428571428571,0.45454545454545453,3.260869565217391,6.043478260869565,0.00689550000743111
standard,nearest,1000078,29,22,12,5,9,7,2,79,67,67,51,97,154.06000000000006,0.41379310344827586,0.7586206896551724,0.7777777777777778,3.0454545454545454,4.409090909090909,0.00689550000743111
standard,nearest,1000079,33,18,7,10,8,4,5,85,72,72,48,128,-56.52000000000001,0.21212121212121213,0.5454545454545454,0.5,4.0,7.111111111111111,0.006749999982957888
standard,nearest,1000080,39,24,11,10,12,7,5,81,73,73,54,135,-19.809999999999988,0.28205128205128205,0.6153846153846154,0.5833333333333334,3.0416666666666665,5.625,0.006630000029872463
standard,nearest,1000081,28,21,11,3,6,3,4,81,68,68,51,59,77.85999999999999,0.39285714285714285,0.75,0.5,3.238095238095238,2.8095238095238093,0.006499500017298487
standard,nearest,1000082,31,26,12,5,4,2,0,86,71,71,42,98,134.22000000000006,0.3870967741935484,0.8387096774193549,0.5,2.730769230769231,3.769230769230769,0.010284999973464437
standard,nearest,1000083,25,22,12,1,7,6,2,82,75,75,48,105,180.9300000000001,0.48,0.88,0.8571428571428571,3.409090909090909,4.7727272727272725,0.00718100000085542
standard,nearest,1000084,21,21,16,0,4,3,0,86,76,76,48,29,210.03000000000006,0.7619047619047619,1.0,0.75,3.619047619047619,1.380952380952381,0.006385000006048358
standard,nearest,1000085,30,21,7,6,3,2,3,82,69,69,48,119,46.330000000000005,0.23333333333333334,0.7,0.6666666666666666,3.2857142857142856,5.666666666666667,0.006955999992896977
standard,nearest,1000086,26,22,12,2,6,4,2,84,74,74,48,98,160.07999999999998,0.46153846153846156,0.8461538461538461,0.6666666666666666,3.3636363636363638,4.454545454545454,0.006795499984946218
standard,nearest,1000087,25,21,10,1,7,4,3,86,75,75,45,72,167.65,0.4,0.84,0.5714285714285714,3.5714285714285716,3.4285714285714284,0.007060000001501976
standard,nearest,1000088,22,18,6,0,6,1,4,86,74,74,51,92,88.95999999999992,0.2727272727272727,0.8181818181818182,0.16666666666666666,4.111111111111111,5.111111111111111,0.006579999990208307
standard,nearest,1000089,23,19,12,0,5,3,4,87,75,75,48,62,120.93000000000004,0.5217391304347826,0.8260869565217391,0.6,3.9473684210526314,3.263157894736842,0.0065449999624433985
standard,nearest,1000090,31,20,9,9,13,7,2,87,74,74,42,151,13.619999999999994,0.2903225806451613,0.6451612903225806,0.5384615384615384,3.7,7.55,0.006880000000819564
standard,nearest,1000091,30,22,11,6,9,5,2,87,72,72,42,86,119.07000000000002,0.36666666666666664,0.7333333333333333,0.5555555555555556,3.272727272727273,3.909090909090909,0.006584499971040714
standard,nearest,1000092,26,20,12,2,6,4,4,87,74,74,45,55,102.39999999999992,0.46153846153846156,0.7692307692307693,0.6666666666666666,3.7,2.75,0.006635000005417169
standard,nearest,1000093,33,24,11,5,7,4,4,83,81,81,48,84,107.33000000000001,0.3333333333333333,0.7272727272727273,0.5714285714285714,3.375,3.5,0.006945999984964146
standard,nearest,1000094,31,22,11,7,14,9,2,85,69,69,45,113,130.30000000000004,0.3548387096774194,0.7096774193548387,0.6428571428571429,3.1363636363636362,5.136363636363637,0.006795000018655628
standard,nearest,1000095,20,20,19,0,5,5,0,81,65,65,54,2,222.8400000000001,0.95,1.0,1.0,3.25,0.1,0.009445000017649363
standard,nearest,1000096,35,19,7,13,9,3,3,87,71,71,45,178,-100.70000000000003,0.2,0.5428571428571428,0.3333333333333333,3.736842105263158,9.368421052631579,0.011892999992824116
standard,nearest,1000097,34,21,14,9,15,9,4,83,69,69,51,89,69.36000000000001,0.4117647058823529,0.6176470588235294,0.6,3.2857142857142856,4.238095238095238,0.0070410000034826226
standard,nearest,1000098,25,24,13,0,6,4,1,81,74,74,60,56,239.25000000000014,0.52,0.96,0.6666666666666666,3.0833333333333335,2.3333333333333335,0.007126000014068268
standard,nearest,1000099,29,22,13,4,7,5,3,85,75,75,45,70,120.64999999999998,0.4482758620689655,0.7586206896551724,0.7142857142857143,3.409090909090909,3.1818181818181817,0.006705000004103567
standard,nearest,1000100,28,21,13,3,7,2,4,84,70,70,45,57,70.45,0.4642857142857143,0.75,0.2857142857142857,3.3333333333333335,2.7142857142857144,0.006965500006117509
standard,nearest,1000101,29,21,9,5,10,4,3,87,71,71,45,102,74.25000000000009,0.3103448275862069,0.7241379310344828,0.4,3.380952380952381,4.857142857142857,0.006944999995539547
standard,nearest,1000102,30,22,13,6,8,3,2,84,72,72,51,121,92.46000000000002,0.43333333333333335,0.7333333333333333,0.375,3.272727272727273,5.5,0.00730599998632897
standard,nearest,1000103,38,23,11,11,11,7,4,85,71,71,54,117,51.53999999999998,0.2894736842105263,0.6052631578947368,0.6363636363636364,3.0869565217391304,5.086956521739131,0.0067605000140247284
standard,nearest,1000104,23,23,17,0,6,5,0,83,71,71,54,26,252.78999999999996,0.7391304347826086,1.0,0.8333333333333334,3.0869565217391304,1.1304347826086956,0.006630000001450753
standard,nearest,1000105,32,22,11,8,13,7,2,86,76,76,48,120,106.83,0.34375,0.6875,0.5384615384615384,3.4545454545454546,5.454545454545454,0.007140500002833505
standard,nearest,1000106,32,21,8,8,8,4,3,87,74,74,48,157,-9.169999999999995,0.25,0.65625,0.5,3.5238095238095237,7.476190476190476,0.006935500010740725
standard,nearest,1000107,34,19,8,11,6,2,4,85,73,73,48,93,-52.17000000000002,0.23529411764705882,0.5588235294117647,0.3333333333333333,3.8421052631578947,4.894736842105263,0.006885999994210579
standard,nearest,1000108,30,21,10,6,5,2,3,83,75,75,45,133,39.59999999999999,0.3333333333333333,0.7,0.4,3.5714285714285716,6.333333333333333,0.007060999962504866
standard,nearest,1000109,32,21,10,9,8,4,2,84,74,74,51,92,41.610000000000014,0.3125,0.65625,0.5,3.5238095238095237,4.380952380952381,0.007256000003508234
standard,nearest,1000110,19,19,17,0,5,4,0,81,69,69,56,26,202.2600000000001,0.8947368421052632,1.0,0.8,3.6315789473684212,1.368421052631579,0.011357000005318696
standard,nearest,1000111,41,20,9,18,11,5,3,84,75,75,48,136,-165.16999999999993,0.21951219512195122,0.4878048780487805,0.45454545454545453,3.75,6.8,0.007856999985733637
standard,nearest,1000112,35,20,9,13,8,3,2,83,77,77,51,135,-71.64000000000001,0.2571428571428571,0.5714285714285714,0.375,3.85,6.75,0.007005500009427124
standard,nearest,1000113,33,23,12,7,6,2,3,83,74,74,51,79,80.11000000000006,0.36363636363636365,0.696969696969697,0.3333333333333333,3.217391304347826,3.4347826086956523,0.006870500016020742
standard,nearest,1000114,36,21,12,10,13,7,5,86,69,69,48,111,-1.9700000000000202,0.3333333333333333,0.5833333333333334,0.5384615384615384,3.2857142857142856,5.285714285714286,0.00722600000813145
standard,nearest,1000115,38,24,13,10,12,7,4,88,75,75,42,104,91.52000000000007,0.34210526315789475,0.631578947368421,0.5833333333333334,3.125,4.333333333333333,0.006860499979666201
standard,nearest,1000116,32,21,10,9,10,4,2,87,73,73,48,147,0.7300000000000608,0.3125,0.65625,0.4,3.4761904761904763,7.0,0.0068804999955318635
standard,nearest,1000117,21,20,11,0,3,3,1,84,74,74,45,52,168.2499999999999,0.5238095238095238,0.9523809523809523,1.0,3.7,2.6,0.0065399999868986924
standard,nearest,1000118,32,20,8,10,11,4,2,87,68,68,45,173,-46.79999999999998,0.25,0.625,0.36363636363636365,3.4,8.65,0.00702099998761696
standard,nearest,1000119,34,25,11,7,4,1,2,79,71,71,54,98,88.64000000000001,0.3235294117647059,0.7352941176470589,0.25,2.84,3.92,0.007030000034546902
standard,nearest,1000120,23,23,11,0,4,3,0,84,76,76,45,93,209.4,0.4782608695652174,1.0,0.75,3.3043478260869565,4.043478260869565,0.006530000007387571
standard,nearest,1000121,32,22,6,7,5,2,3,83,78,78,57,88,37.16999999999998,0.1875,0.6875,0.4,3.5454545454545454,4.0,0.006585000022596432
standard,nearest,1000122,33,23,14,5,8,5,5,81,74,74,55,51,112.79999999999998,0.42424242424242425,0.696969696969697,0.625,3.217391304347826,2.217391304347826,0.006509999991521909
standard,nearest,1000123,27,24,19,0,11,9,3,83,77,77,48,31,242.77999999999992,0.7037037037037037,0.8888888888888888,0.8181818181818182,3.2083333333333335,1.2916666666666667,0.006905499958520522
standard,nearest,1000124,36,21,12,11,10,7,4,82,73,73,52,87,8.569999999999993,0.3333333333333333,0.5833333333333334,0.7,3.4761904761904763,4.142857142857143,0.006890000008752395
standard,nearest,1000125,32,21,11,7,12,6,4,87,67,67,51,127,17.46,0.34375,0.65625,0.5,3.1904761904761907,6.0476190476190474,0.0066200000219396316
standard,nearest,1000126,29,21,13,5,6,4,3,88,71,71,42,66,87.86999999999998,0.4482758620689655,0.7241379310344828,0.6666666666666666,3.380952380952381,3.142857142857143,0.0075769999909880426
standard,nearest,1000127,28,22,14,4,4,4,2,86,73,73,54,89,120.14000000000004,0.5,0.7857142857142857,1.0,3.3181818181818183,4.045454545454546,0.006845999990900964
standard,nearest,1000128,34,23,11,7,9,6,4,84,71,71,45,119,84.4,0.3235294117647059,0.6764705882352942,0.6666666666666666,3.0869565217391304,5.173913043478261,0.006860000013375611
standard,nearest,1000129,20,20,17,0,4,4,0,77,63,63,63,8,211.58000000000004,0.85,1.0,1.0,3.15,0.4,0.006379499978947933
standard,nearest,1000130,37,21,6,13,7,2,3,89,72,72,45,189,-84.55000000000003,0.16216216216216217,0.5675675675675675,0.2857142857142857,3.4285714285714284,9.0,0.0069305000067743094
standard,nearest,1000131,30,21,12,6,10,6,3,87,73,73,48,81,70.18,0.4,0.7,0.6,3.4761904761904763,3.857142857142857,0.006754999986924304
standard,nearest,1000132,33,25,12,7,6,6,1,85,73,73,48,119,143.18000000000004,0.36363636363636365,0.7575757575757576,1.0,2.92,4.76,0.006605000010040385
standard,nearest,1000133,37,23,10,11,7,4,3,84,73,73,45,123,25.249999999999986,0.2702702702702703,0.6216216216216216,0.5714285714285714,3.1739130434782608,5.3478260869565215,0.006810000002133165
standard,nearest,1000134,32,22,7,8,12,5,2,86,75,75,48,167,32.52999999999998,0.21875,0.6875,0.4166666666666667,3.409090909090909,7.590909090909091,0.006740000003446767
standard,nearest,1000135,21,20,11,0,5,4,1,85,79,79,45,56,182.00000000000003,0.5238095238095238,0.9523809523809523,0.8,3.95,2.8,0.006569999982275476
standard,nearest,1000136,33,22,11,9,5,3,2,87,73,73,42,111,61.56999999999999,0.3333333333333333,0.6666666666666666,0.6,3.3181818181818183,5.045454545454546,0.006951000017352271
standard,nearest,1000137,30,22,10,7,7,6,1,83,73,73,54,155,88.94000000000003,0.3333333333333333,0.7333333333333333,0.8571428571428571,3.3181818181818183,7.045454545454546,0.00702099998761696
standard,nearest,1000138,35,22,14,10,4,1,3,83,71,71,45,73,-30.349999999999987,0.4,0.6285714285714286,0.25,3.227272727272727,3.3181818181818183,0.006820000010065996
standard,nearest,1000139,21,19,16,0,5,5,2,85,75,75,54,21,172.9399999999999,0.7619047619047619,0.9047619047619048,1.0,3.9473684210526314,1.105263157894737,0.006400000017947605
standard,nearest,1000140,22,21,14,0,2,2,1,81,69,69,55,27,178.89999999999995,0.6363636363636364,0.9545454545454546,1.0,3.2857142857142856,1.2857142857142858,0.006674999980305074
standard,nearest,1000141,32,22,7,6,10,4,4,86,78,78,45,127,45.149999999999984,0.21875,0.6875,0.4,3.5454545454545454,5.7727272727272725,0.006805499992879049
standard,nearest,1000142,33,20,8,9,2,0,4,86,68,68,39,164,-44.21000000000003,0.24242424242424243,0.6060606060606061,0.0,3.4,8.2,0.0066650000007939525
standard,nearest,1000143,30,20,10,8,10,4,2,83,74,74,51,99,-25.14,0.3333333333333333,0.6666666666666666,0.4,3.7,4.95,0.00672499999154752
standard,nearest,1000144,34,22,6,10,9,4,2,84,74,74,57,172,23.819999999999997,0.17647058823529413,0.6470588235294118,0.4444444444444444,3.3636363636363638,7.818181818181818,0.006699999971715442
standard,nearest,1000145,28,21,12,3,2,2,4,85,71,71,54,27,98.3900000000001,0.42857142857142855,0.75,1.0,3.380952380952381,1.2857142857142858,0.007076000002825822
standard,nearest,1000146,30,20,8,5,11,7,5,85,76,76,48,123,80.03000000000003,0.26666666666666666,0.6666666666666666,0.6363636363636364,3.8,6.15,0.007586500004208574
standard,nearest,1000147,26,23,10,2,6,4,1,83,71,71,51,102,183.31000000000006,0.38461538461538464,0.8846153846153846,0.6666666666666666,3.0869565217391304,4.434782608695652,0.0067705000219575595
standard,nearest,1000148,37,19,12,13,5,3,5,83,73,73,51,77,-85.48999999999995,0.32432432432432434,0.5135135135135135,0.6,3.8421052631578947,4.052631578947368,0.006845499996188664
standard,nearest,1000149,31,20,9,7,7,4,4,83,71,71,54,135,12.990000000000009,0.2903225806451613,0.6451612903225806,0.5714285714285714,3.55,6.75,0.0067900000146892125
standard,deadline,1000000,42,23,11,16,10,4,3,84,74,74,57,151,-73.67999999999999,0.2619047619047619,0.5476190476190477,0.4,3.217391304347826,6.565217391304348,0.007165999960534464
standard,deadline,1000001,37,25,17,11,10,6,1,85,73,73,45,48,68.65000000000003,0.4594594594594595,0.6756756756756757,0.6,2.92,1.92,0.006665499995506252
standard,deadline,1000002,34,22,9,8,6,4,4,84,76,76,54,116,11.789999999999992,0.2647058823529412,0.6470588235294118,0.6666666666666666,3.4545454545454546,5.2727272727272725,0.006935500010740725
standard,deadline,1000003,38,22,9,16,11,5,0,84,72,72,45,169,-39.29999999999998,0.23684210526315788,0.5789473684210527,0.45454545454545453,3.272727272727273,7.681818181818182,0.006615000017973216
standard,deadline,1000004,28,19,14,5,7,4,4,86,76,76,45,42,50.30000000000003,0.5,0.6785714285714286,0.5714285714285714,4.0,2.210526315789474,0.0065050000159772026
